"Country","Year","Strike","Unemp","Infl","Demo","Centr","Dens"
"Australia",1951,296,1.3,19.8,43,0.375,56.8
"Australia",1952,397,2.2,17.2,43,0.375,55.4
"Australia",1953,360,2.5,4.3,43,0.375,56.9
"Australia",1954,300,1.7,0.7,47,0.375,58.6
"Australia",1955,326,1.4,2,38.5,0.375,57.6
"Australia",1956,352,1.8,6.3,38.5,0.375,56.6
"Australia",1957,195,2.3,2.5,38.5,0.375,55.5
"Australia",1958,133,2.7,1.3,36.9,0.375,54.5
"Australia",1959,109,2.6,1.8,36.9,0.375,54.8
"Australia",1960,208,2.5,3.8,36.9,0.375,54.5
"Australia",1961,173,2.5,2.5,49.2,0.375,53.7
"Australia",1962,142,2.6,-0.3,49.2,0.375,54
"Australia",1963,158,2.1,0.5,41,0.375,54.3
"Australia",1964,243,1.6,2.4,41,0.375,53.9
"Australia",1965,211,1.5,4,41,0.375,53.5
"Australia",1966,183,1.7,3,33.1,0.375,52.5
"Australia",1967,168,1.9,3.2,33.1,0.375,51.6
"Australia",1968,249,1.8,2.7,33.1,0.375,51.2
"Australia",1969,439,1.8,2.9,47.2,0.375,50.5
"Australia",1970,515,1.6,3.9,47.2,0.375,49.6
"Australia",1971,645,1.9,6.1,47.2,0.375,50.4
"Australia",1972,416,2.6,5.9,53.6,0.375,51
"Australia",1973,527,2.3,9.5,53.6,0.375,52.1
"Australia",1974,1252,2.6,15.1,52,0.375,53.7
"Australia",1975,702,4.8,15.1,28.3,0.375,53.7
"Australia",1976,760,4.7,13.5,28.3,0.375,53.1
"Australia",1977,328,5.6,12.3,30.7,0.375,52
"Australia",1978,421,6.4,7.9,30.7,0.375,52
"Australia",1979,778,6.1,9.1,30.7,0.375,52.5
"Australia",1980,633,6,10.1,40.8,0.375,52.4
"Australia",1981,779,5.7,9.7,40.8,0.375,52.1
"Australia",1982,370,7,11.2,40.8,0.375,51.9
"Australia",1983,313,9.8,10.1,60,0.375,50.7
"Australia",1984,241,8.9,4,55.4,0.375,50.3
"Australia",1985,226,8.2,6.7,55.4,0.375,51.1
"Austria",1951,43,3.5,27.5,43.6,1,62.2
"Austria",1952,39,4.7,13.6,43.6,1,62.7
"Austria",1953,20,5.8,-1.6,46.7,1,62.7
"Austria",1954,26,4.9,4,46.7,1,63
"Austria",1955,28,3.6,0,46.7,1,63.4
"Austria",1956,72,3.5,3.9,46.7,1,63.2
"Austria",1957,21,3.3,2.8,46.7,1,62.5
"Austria",1958,22,3.6,2,46.7,1,62.5
"Austria",1959,23,3.3,1.1,47.3,1,62.7
"Austria",1960,30,2.5,2,47.3,1,63.2
"Austria",1961,49,2,3.5,47.3,1,63.2
"Austria",1962,277,1.9,4.4,46.1,1,63
"Austria",1963,15,2.1,2.7,46.1,1,63.2
"Austria",1964,15,1.9,3.9,46.1,1,63.1
"Austria",1965,64,1.9,4.9,46.1,1,62.7
"Austria",1966,30,1.8,2.2,47.9,1,62.6
"Austria",1967,7,1.8,4,47.9,1,62.3
"Austria",1968,3,2,2.8,47.9,1,62.7
"Austria",1969,8,1.8,3.1,47.9,1,62.4
"Austria",1970,11,1.5,4.4,49.1,1,61.8
"Austria",1971,2,1.2,4.7,49.1,1,60.8
"Austria",1972,6,1.1,6.4,50.8,1,59.9
"Austria",1973,61,1,7.5,50.8,1,58.8
"Austria",1974,3,1.1,9.5,50.8,1,58.5
"Austria",1975,2,1.7,8.5,50.8,1,58.4
"Austria",1976,0,1.7,7.3,50.8,1,58.3
"Austria",1977,0,1.6,5.5,50.8,1,58
"Austria",1978,4,1.8,3.6,50.8,1,57.8
"Austria",1979,0,1.7,3.7,51.9,1,58.1
"Austria",1980,6,1.6,6.3,51.9,1,58.3
"Austria",1981,1,2.1,6.8,51.9,1,58.4
"Austria",1982,0,3.1,5.4,51.9,1,58
"Austria",1983,0,3.8,3.3,49.2,1,57.9
"Austria",1984,0,3.9,5.7,49.2,1,57.9
"Austria",1985,8,4.1,3.2,49.2,1,57.5
"Belgium",1951,242,4.5,9.6,39.6,0.75,39.4
"Belgium",1952,356,5.2,0.9,39.6,0.75,43.4
"Belgium",1953,170,5.5,-0.3,39.6,0.75,44.1
"Belgium",1954,182,5.2,1.3,42.5,0.75,44.2
"Belgium",1955,403,4,-0.5,42.5,0.75,44.7
"Belgium",1956,372,2.9,2.8,42.5,0.75,45
"Belgium",1957,1453,2.4,3.2,42.5,0.75,45.9
"Belgium",1958,114,3.4,1.3,40.6,0.75,47.2
"Belgium",1959,383,4.1,1.2,40.6,0.75,48
"Belgium",1960,129,3.4,0.3,40.6,0.75,48.1
"Belgium",1961,35,2.7,1,42,0.75,47.6
"Belgium",1962,100,2.1,1.4,42,0.75,46.4
"Belgium",1963,90,1.7,2.2,42,0.75,47.7
"Belgium",1964,157,1.5,4.2,42,0.75,47.6
"Belgium",1965,25,1.7,4.1,33,0.75,48
"Belgium",1966,189,1.8,4.2,33,0.75,48.8
"Belgium",1967,64,2.5,2.9,33,0.75,49.9
"Belgium",1968,129,2.9,2.7,30.2,0.75,50.9
"Belgium",1969,56,2.3,3.8,30.2,0.75,51.6
"Belgium",1970,483,1.9,3.9,30.2,0.75,52.3
"Belgium",1971,410,1.8,4.3,30.2,0.75,54.6
"Belgium",1972,117,2.3,5.5,31.1,0.75,57.1
"Belgium",1973,282,2.3,7,31.1,0.75,58.7
"Belgium",1974,184,2.4,12.7,29.7,0.75,60.3
"Belgium",1975,196,4.4,12.8,29.7,0.75,63.3
"Belgium",1976,291,5.8,9.2,29.7,0.75,65.3
"Belgium",1977,216,6.6,7.1,30.2,0.75,66.1
"Belgium",1978,325,7.1,4.5,30.2,0.75,65.9
"Belgium",1979,197,7.3,4.5,29.3,0.75,66.9
"Belgium",1980,69,7.7,6.7,29.3,0.75,67.5
"Canada",1951,242,2.4,10.4,78.7,0,27.4
"Canada",1952,5918,2.9,2.5,78.7,0,28.3
"Canada",1953,335,2.9,-0.9,73.5,0,28.6
"Canada",1954,372,4.5,0.6,73.5,0,28.3
"Canada",1955,454,4.3,0.2,73.5,0,28.1
"Canada",1956,284,3.3,1.4,73.5,0,28.5
"Canada",1957,325,4.5,3.2,49,0,27.9
"Canada",1958,618,6.9,2.6,21.5,0,28
"Canada",1959,470,5.9,1.1,21.5,0,27.6
"Canada",1960,153,6.9,1.3,21.5,0,26.8
"Canada",1961,28,7.1,0.9,21.5,0,26
"Canada",1962,279,5.4,1.2,44.9,0,25.3
"Canada",1963,175,5.1,1.8,55.1,0,25
"Canada",1964,289,4.3,1.8,55.1,0,24.9
"Canada",1965,408,3.6,2.5,57.3,0,25.3
"Canada",1966,849,3.3,3.7,57.3,0,26.1
"Canada",1967,612,3.8,3.6,57.3,0,27.8
"Canada",1968,762,4.4,4.1,67,0,28.3
"Canada",1969,1125,4.4,4.5,67,0,28.3
"Canada",1970,934,5.6,3.4,67,0,28.8
"Canada",1971,399,6.1,2.8,67,0,28.7
"Canada",1972,1041,6.2,4.8,53,0,29.6
"Canada",1973,732,5.5,7.6,53,0,30.4
"Canada",1974,1121,5.3,10.9,59,0,31
"Canada",1975,1303,6.9,10.8,59,0,31.6
"Canada",1976,1359,7.1,7.5,59,0,32.5
"Canada",1977,381,8,8,59,0,32.9
"Canada",1978,826,8.3,8.9,59,0,33.2
"Canada",1979,841,7.4,9.1,49.6,0,33.2
